Title:January U.S. Tornadoes,,
Note:*denotes preliminary data,,
,,
Date,Tornadoes,Fatalities
1950,7,1
1951,2,0
1952,12,0
1953,14,0
1954,2,0
1955,3,0
1956,2,0
1957,16,13
1958,11,0
1959,16,3
1960,9,0
1961,1,0
1962,12,1
1963,15,1
1964,14,10
1965,21,0
1966,1,0
1967,40,7
1968,5,0
1969,3,32
1970,9,0
1971,17,1
1972,33,5
1973,33,1
1974,23,2
1975,52,12
1976,12,0
1977,5,0
1978,23,2
1979,16,0
1980,5,0
1981,2,0
1982,18,1
1983,13,2
1984,1,0
1985,2,0
1986,0,0
1987,6,0
1988,17,5
1989,15,0
1990,11,0
1991,29,1
1992,15,0
1993,17,0
1994,13,0
1995,36,2
1996,35,1
1997,50,2
1998,47,0
1999,214,18
2000,16,0
2001,5,0
2002,3,0
2003,0,0
2004,2,0
2005,32,4
2006,47,1
2007,21,2
2008,84,7
2009,6,0
2010,30,0
2011,16,0
2012,79,2
2013,75,1
2014,4,0
2015,28,0
2016,17,2
2017,137,20
2018,15,0
2019,22,0
2020,87,7
2021,16,1
2022,37,0
2023,130,8
2024,45,2
2025,20*,0